id,name,category,total_score,similarity_score,skill_match_score,matched_required,missing_required,matched_nice,missing_nice,job_terms_overlap
14528265,Candidate 14528265,DESIGNER,0.0389,0.0065,0.0875,aws,"nlp, python, sql, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
20748929,Candidate 20748929,BUSINESS-DEVELOPMENT,0.0389,0.0064,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
18365443,Candidate 18365443,HEALTHCARE,0.0389,0.0065,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
30097175,Candidate 30097175,ENGINEERING,0.0388,0.0063,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
11580408,Candidate 11580408,INFORMATION-TECHNOLOGY,0.0388,0.0063,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
32965335,Candidate 32965335,ADVOCATE,0.0388,0.0063,0.0875,aws,"nlp, python, sql, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
31243710,Candidate 31243710,INFORMATION-TECHNOLOGY,0.0388,0.0064,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
12472574,Candidate 12472574,ENGINEERING,0.0387,0.0062,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
27295996,Candidate 27295996,INFORMATION-TECHNOLOGY,0.0387,0.0061,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
29524570,Candidate 29524570,DESIGNER,0.0386,0.006,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
12635195,Candidate 12635195,INFORMATION-TECHNOLOGY,0.0386,0.006,0.0875,python,"nlp, sql, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
34317538,Candidate 34317538,DESIGNER,0.0386,0.0061,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
26585242,Candidate 26585242,HEALTHCARE,0.0386,0.006,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
18301617,Candidate 18301617,INFORMATION-TECHNOLOGY,0.0386,0.006,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
70667011,Candidate 70667011,BANKING,0.0386,0.006,0.0875,etl,"nlp, python, sql, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
70089206,Candidate 70089206,INFORMATION-TECHNOLOGY,0.0386,0.0061,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
86828820,Candidate 86828820,ENGINEERING,0.0385,0.0059,0.0875,etl,"nlp, python, sql, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
35483925,Candidate 35483925,BANKING,0.0385,0.0059,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
33893326,Candidate 33893326,DIGITAL-MEDIA,0.0385,0.0058,0.0875,etl,"nlp, python, sql, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
21807224,Candidate 21807224,ENGINEERING,0.0384,0.0056,0.0875,aws,"nlp, python, sql, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
10751444,Candidate 10751444,DESIGNER,0.0384,0.0057,0.0875,python,"nlp, sql, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
27004930,Candidate 27004930,BUSINESS-DEVELOPMENT,0.0383,0.0055,0.0875,etl,"nlp, python, sql, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
32025286,Candidate 32025286,CONSTRUCTION,0.0383,0.0054,0.0875,etl,"nlp, python, sql, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
31217840,Candidate 31217840,CONSULTANT,0.0383,0.0055,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
20314980,Candidate 20314980,CONSULTANT,0.0383,0.0055,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
11890896,Candidate 11890896,ENGINEERING,0.0383,0.0055,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
54227873,Candidate 54227873,ENGINEERING,0.0383,0.0054,0.0875,python,"nlp, sql, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
18176523,Candidate 18176523,INFORMATION-TECHNOLOGY,0.0383,0.0056,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
13575312,Candidate 13575312,HEALTHCARE,0.0383,0.0055,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
28998957,Candidate 28998957,APPAREL,0.0382,0.0054,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
66226673,Candidate 66226673,ARTS,0.0382,0.0053,0.0875,aws,"nlp, python, sql, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
30542184,Candidate 30542184,ENGINEERING,0.0382,0.0053,0.0875,etl,"nlp, python, sql, aws, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
31111279,Candidate 31111279,INFORMATION-TECHNOLOGY,0.0382,0.0054,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
15602094,Candidate 15602094,CONSULTANT,0.0381,0.0052,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
37764298,Candidate 37764298,INFORMATION-TECHNOLOGY,0.0381,0.0052,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
55104715,Candidate 55104715,SALES,0.0381,0.0052,0.0875,sql,"nlp, python, aws, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
10820510,Candidate 10820510,CONSTRUCTION,0.038,0.0051,0.0875,aws,"nlp, python, sql, etl, scikit-learn, spacy, ml pipelines",,"docker, airflow, tensorflow, pytorch, mlflow",
